District Name,District Code,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting,% Emergency Removal,% Students with a School-Based Arrest,% Students with a Non-Arrest Law Enforcement Referral
Blue Hills Regional Vocational Technical,8060000,918,6,0,0.7,0,0,0,0,0
Boston,350000,"50,036",232,0,0.4,0,0,0,0,0
Boston Collegiate Charter (District),4490000,723,23,1.8,1.7,0,0,0.1,0,0
Boston Day and Evening Academy Charter (District),4240000,458,1,,,,,,,
Boston Green Academy Horace Mann Charter School (District),4110000,495,18,0,3.2,0,0,0.6,0,0
Boston Preparatory Charter Public (District),4160000,702,15,0,2.1,0,0,0,0,0
Bourne,360000,"1,654",27,0.2,1.4,0,0,0,0,0.1
Braintree,400000,"5,564",37,0,0.7,0,0,0,0,0
Bridgewater-Raynham,6250000,"5,601",25,0,0.3,0.1,0,0.1,0,0
Bristol County Agricultural,9100000,502,7,0,1.4,0,0,0,0,0
Bristol-Plymouth Regional Vocational Technical,8100000,"1,340",14,0.3,0.7,0,0,0,0,0
Brockton,440000,"16,143",145,0,0.9,0,0,0,0,0
Brooke Charter School (District),4280000,"2,238",15,0,0.6,0,0,0,0,0
Brookline,460000,"7,280",15,0.2,0.1,0,0,0,0,0
Burlington,480000,"3,564",6,0,0.2,0,0,0,0,0
Cambridge,490000,"6,908",13,0,0.2,0,0,0.1,0,0
Canton,500000,"3,339",20,0.3,0.5,0,0,0,0,0
Cape Cod Regional Vocational Technical,8150000,670,10,0.6,1,0,0,0,0,0
Carver,520000,"1,549",6,0,0.4,0,0,0,0,0
Central Berkshire,6350000,"1,579",12,0.6,0.3,0,0,0,0,0
Chelmsford,560000,"5,151",41,0.2,0.7,0,0,0,0,0
Chelsea,570000,"6,661",14,0.1,0.1,0,0,0,0,0
Chicopee,610000,"7,271",70,0.1,0.9,0,0,0,0,0
Christa McAuliffe Charter Public (District),4180000,398,5,,,,,,,
City on a Hill Charter Public School (District),4370000,242,10,0,4.1,0,0,0,0,0
Clarksburg,630000,211,2,,,,,,,
Clinton,640000,"2,052",11,0,0.5,0,0,0,0,0
Collegiate Charter School of Lowell (District),35030000,"1,180",9,0,0.8,0,0,0,0,0
Concord-Carlisle,6400000,"1,333",1,,,,,,,
Danvers,710000,"3,331",15,0,0.4,0,0,0,0,0
Dartmouth,720000,"3,493",10,0,0.3,0,0,0,0,0
Dedham,730000,"2,647",15,0,0.6,0,0,0,0,0
Dighton-Rehoboth,6500000,"2,650",13,0.1,0.5,0,0,0,0,0
Douglas,770000,"1,215",8,0.2,0.4,0,0,0,0,0
Dover-Sherborn,6550000,"1,171",4,,,,,,,
Dracut,790000,"3,796",8,0,0.2,0,0,0,0,0
Dudley-Charlton Reg,6580000,"3,597",17,0.1,0.4,0,0,0,0,0
Duxbury,820000,"2,846",8,0.2,0.2,0,0,0,0,0
